,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PROMEDIO,50.92,16.05,14.12,99.97
ALABAMA,5.0,0.0,0.0,99.95
ALMA,5.0,0.0,0.0,99.89
AMAZONIA,11.0,0.0,0.0,99.95
AMALTA,28.0,0.0,0.0,99.98
ANDROMEDA,11.0,0.0,0.0,99.98
ARGEL,11.0,0.0,0.0,99.97
AQUARIUM,5.0,0.0,0.0,99.98
ANTARES,56.0,0.0,0.0,99.98
ASTI,5.0,0.0,0.0,99.98
ARTICO,5.0,0.0,0.0,99.96
ARRECIFE,11.0,0.0,0.0,99.95
BLOSSOM,11.0,0.0,0.0,99.95
BELEK,5.0,0.0,0.0,99.98
BASALTO,28.0,0.0,0.0,99.98
BASALTINA,67.0,0.0,0.0,99.99
BALI,100.0,0.0,0.0,99.98
CALIZA,5.0,0.0,0.0,99.96
BROOKLYN,33.0,0.0,0.0,99.98
BOSTON,22.0,0.0,0.0,99.95
BOREAL,5.0,0.0,0.0,99.97
BRESCIA,72.0,0.0,0.0,99.98
CONTEMPO,11.0,0.0,0.0,99.96
CONCRET,22.0,0.0,0.0,99.99
DAKAR,44.0,0.0,0.0,99.99
CONCEPT,44.0,0.0,0.0,99.98
CLOUDY_FOREST,5.0,0.0,0.0,99.96
CHLOE,5.0,0.0,0.0,99.95
CHARLOTE,5.0,0.0,0.0,99.94
CEPPO,44.0,0.0,0.0,99.98
CEOL,44.0,0.0,0.0,99.98
CEMENTO DECORADO,44.0,0.0,0.0,99.97
CEMENTO,67.0,0.0,0.0,99.97
FLORIAN,5.0,0.0,0.0,99.98
FLOREANA,5.0,0.0,0.0,99.92
FERRAN,5.0,0.0,0.0,99.95
DORNE,16.0,0.0,0.0,99.97
EMPERADOR,44.0,0.0,0.0,99.97
ECOSTONE,11.0,0.0,0.0,99.97
FENIX,33.0,0.0,0.0,99.98
FACTORY,11.0,0.0,0.0,99.98
CRETA,33.0,0.0,0.0,99.95
DESERT,11.0,0.0,0.0,99.96
DANAE,5.0,0.0,0.0,99.96
COTTO,89.0,0.0,0.0,99.98
DAKOTA,89.0,0.0,0.0,99.98
LITIO,11.0,0.0,0.0,99.98
MALIBU,5.0,0.0,0.0,99.96
MAJESTIC_BLUE,5.0,0.0,0.0,99.96
KANSAS,134.0,0.0,0.0,99.97
KYOTO_DREAM,5.0,0.0,0.0,99.96
LARA,5.0,0.0,0.0,99.98
LAJA,22.0,0.0,0.0,99.97
LEBLON,5.0,0.0,0.0,99.99
LIMESTONE,22.0,0.0,0.0,99.98
IBIZA,28.0,0.0,0.0,99.97
IVORY,5.0,0.0,0.0,99.9
HELI,16.0,0.0,0.0,99.98
HERMES,61.0,0.0,0.0,99.98
GRECO,44.0,0.0,0.0,99.97
GRETA,28.0,0.0,0.0,99.98
GRANITY,5.0,0.0,0.0,99.98
FUSION,16.0,0.0,0.0,99.98
FRANCINE,5.0,0.0,0.0,99.94
FORESTA,5.0,0.0,0.0,99.94
NEO,5.0,0.0,0.0,99.96
PAMPLONA,33.0,0.0,0.0,99.97
PALMIRA,44.0,0.0,0.0,99.98
PERIGATAN,16.0,0.0,0.0,99.98
PLATINUM,5.0,0.0,0.0,99.96
OLIMPIA,5.0,0.0,0.0,99.9
PARQUET,11.0,0.0,0.0,99.98
LINEN,5.0,0.0,0.0,99.96
NATURAL,16.0,0.0,0.0,99.98
OAKLAND,22.0,0.0,0.0,99.98
MORMONT,39.0,0.0,0.0,99.98
NANTES,11.0,0.0,0.0,99.98
MONTANA,89.0,0.0,0.0,99.97
MONET,5.0,0.0,0.0,99.98
MIAMI,5.0,0.0,0.0,99.98
METAL,22.0,0.0,0.0,99.98
MANHATAN,22.0,0.0,0.0,99.98
MAUI,22.0,0.0,0.0,99.96
LINO,22.0,0.0,0.0,99.97
MADISON,33.0,0.0,0.0,99.98
TERSO,5.0,0.0,0.0,99.94
TOULOUSE,11.0,0.0,0.0,99.98
TORINO,39.0,0.0,0.0,99.95
TIRRENO,11.0,0.0,0.0,99.98
ROMA DECO,22.0,0.0,0.0,99.97
SANT,5.0,0.0,0.0,99.96
SIERRA,67.0,0.0,0.0,99.98
SILVERADO,22.0,0.0,0.0,99.98
REFLECTION,33.0,0.0,0.0,99.98
ROCKY,67.0,0.0,0.0,99.98
ROMA,28.0,0.0,0.0,99.96
PRADO,22.0,0.0,0.0,99.98
SLATEWORK,50.0,0.0,0.0,99.99
SOFT_SABANA,5.0,0.0,0.0,99.97
SOTILE,11.0,0.0,0.0,99.98
