,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PROMEDIO,50.92,48.05,91.63,87.09
MIAMI,5.0,1.0,20.0,68.0
FLOREANA,5.0,3.0,60.0,68.0
MALIBU,5.0,3.0,60.0,52.0
NEO,5.0,3.0,60.0,80.0
LEBLON,5.0,3.0,60.0,64.0
TERSO,5.0,3.0,60.0,80.0
ANDROMEDA,11.0,7.0,63.63636363636363,76.36363636363637
PANDORA,11.0,8.0,72.72727272727273,80.0
ROMA DECO,22.0,17.0,77.27272727272727,67.27272727272727
CALIFORNIA,44.0,34.0,77.27272727272727,69.54545454545456
FRANCINE,5.0,4.0,80.0,76.0
FORESTA,5.0,4.0,80.0,87.99999999999999
CALIZA,5.0,4.0,80.0,84.00000000000001
BOREAL,5.0,4.0,80.0,92.0
LARA,5.0,4.0,80.0,76.0
BELEK,5.0,4.0,80.0,80.0
IVORY,5.0,4.0,80.0,88.00000000000001
GRANITY,5.0,4.0,80.0,72.0
MAJESTIC_BLUE,5.0,4.0,80.0,96.0
PLATINUM,5.0,4.0,80.0,72.0
FERRAN,5.0,4.0,80.0,68.0
ZINERVA,5.0,4.0,80.0,76.0
ARTICO,5.0,4.0,80.0,72.0
ARRECIFE,11.0,9.0,81.81818181818183,80.0
TIRRENO,11.0,9.0,81.81818181818183,81.81818181818183
FACTORY,11.0,9.0,81.81818181818183,69.0909090909091
TRITON,22.0,18.0,81.81818181818183,87.27272727272727
VESTRUM,11.0,9.0,81.81818181818183,83.63636363636364
LITIO,11.0,9.0,81.81818181818183,83.63636363636361
IBIZA,28.0,23.0,82.14285714285714,82.85714285714289
DOLOMITE,44.0,37.0,84.0909090909091,71.3636363636364
OLIMPO,39.0,33.0,84.61538461538461,79.4871794871795
VENECIA,39.0,33.0,84.61538461538461,85.12820512820515
VENETTO,106.0,90.0,84.90566037735849,84.71698113207542
BASALTINA,67.0,57.0,85.07462686567165,77.91044776119399
CORAL,28.0,24.0,85.71428571428571,81.42857142857144
ROMA,28.0,24.0,85.71428571428571,81.42857142857144
MANHATAN,22.0,19.0,86.36363636363636,88.1818181818182
BOSTON,22.0,19.0,86.36363636363636,82.72727272727276
FLORENTINO,89.0,77.0,86.51685393258427,85.39325842696626
HELI,16.0,14.0,87.5,90.0
FUSION,16.0,14.0,87.5,85.00000000000001
DORNE,16.0,14.0,87.5,72.5
ALTEZZA,33.0,29.0,87.87878787878788,83.03030303030303
