,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PROMEDIO,51.24,50.53,95.95,83.83
ASTI,5.0,1.0,20.0,47.943333333333335
ARGEL,11.0,4.0,36.36363636363637,60.871428571428574
LARA,5.0,2.0,40.0,60.49333333333333
LINEN,5.0,2.0,40.0,69.86999999999999
FORESTA,5.0,3.0,60.0,77.50666666666667
ALMA,5.0,3.0,60.0,68.04333333333335
WOODLAND,5.0,3.0,60.0,57.4195238095238
TERSO,5.0,3.0,60.0,67.65666666666667
DESERT,11.0,7.0,63.63636363636363,65.2357142857143
CONTEMPO,11.0,7.0,63.63636363636363,65.66060606060606
LARA,5.0,4.0,80.0,74.4
PLATINUM,5.0,4.0,80.0,69.0
STONE PRO,11.0,10.0,90.9090909090909,75.27272727272728
CATANIA,11.0,10.0,90.9090909090909,84.2727272727273
VESTRUM,11.0,10.0,90.9090909090909,73.27272727272725
TOULOUSE,11.0,10.0,90.9090909090909,72.63636363636364
GRETA,28.0,26.0,92.85714285714286,80.17857142857142
DOLOMITE,44.0,42.0,95.45454545454544,84.75
TRITON,22.0,21.0,95.45454545454544,78.9090909090909
GALIA,22.0,21.0,95.45454545454544,90.54545454545456
BOSTON,22.0,21.0,95.45454545454544,81.72727272727269
MANHATAN,22.0,21.0,95.45454545454544,73.31818181818181
IBIZA,28.0,27.0,96.42857142857144,81.39285714285714
ROMA,28.0,27.0,96.42857142857144,78.71428571428572
MADISON,33.0,32.0,96.96969696969695,81.66666666666667
QUEBEC,33.0,32.0,96.96969696969695,78.36363636363635
DAKARI,67.0,65.0,97.01492537313432,90.31343283582088
BASALTINA,67.0,65.0,97.01492537313432,75.22388059701491
NATURA,67.0,65.0,97.01492537313432,89.16417910447763
CEMENTO,67.0,65.0,97.01492537313432,82.07462686567163
VENECIA,39.0,38.0,97.43589743589745,93.25641025641023
PALIO,123.0,120.0,97.5609756097561,89.54471544715442
CONCEPT,44.0,43.0,97.72727272727272,79.95454545454545
PALMIRA,44.0,43.0,97.72727272727272,80.11363636363636
MURANO,44.0,43.0,97.72727272727272,80.74999999999997
UYUNI,44.0,43.0,97.72727272727272,84.02272727272727
FLORENTINO,89.0,87.0,97.75280898876404,86.60674157303369
SLATEWORK,50.0,49.0,98.0,78.44000000000001
PADUA,50.0,49.0,98.0,91.52
BOLONIA,50.0,49.0,98.0,90.42
CONCRETO,100.0,98.0,98.0,84.05
BALI,100.0,98.0,98.0,90.12
NARVI,392.0,385.0,98.21428571428572,86.96173469387753
HERMES,61.0,60.0,98.36065573770492,79.78688524590162
UTAH,173.0,171.0,98.84393063583816,85.5317919075144
COTTO,89.0,88.0,98.87640449438202,89.75280898876402
GALENO,190.0,188.0,98.94736842105264,83.94210526315781
