,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PROMEDIO,50.92,4.83,2.3,10.86
ALABAMA,5.0,0.0,0.0,7.598416193388487
ALMA,5.0,0.0,0.0,3.709517317014635
ALTAR,5.0,0.0,0.0,5.405595002279971
ALTEZZA,33.0,0.0,0.0,23.690454665841763
AMALTA,28.0,0.0,0.0,9.869724741379573
AMAZONIA,11.0,0.0,0.0,6.736241009493813
AMELIE,16.0,0.0,0.0,3.999326504753375
ANDROMEDA,11.0,0.0,0.0,11.193890690433395
ARIZONA,123.0,0.0,0.0,9.255122427541815
ANTARES,56.0,0.0,0.0,8.546892003913316
AQUARIUM,5.0,0.0,0.0,7.797181480611201
ARGEL,11.0,0.0,0.0,11.970772779776723
ARTICO,5.0,0.0,0.0,20.24347387441832
ARRECIFE,11.0,0.0,0.0,19.696639817316147
ASTI,5.0,0.0,0.0,7.658723999280767
ATHENAS,140.0,0.0,0.0,7.484176333632806
BOLONIA,50.0,0.0,0.0,8.107992762756984
BALI,100.0,0.0,0.0,14.515634848296738
BASALTINA,67.0,0.0,0.0,14.181934486188934
BASALTO,28.0,0.0,0.0,11.221686360324142
BASIC,134.0,0.0,0.0,11.71326132442658
BELEK,5.0,0.0,0.0,3.782611996901307
BLACKSTONE,50.0,0.0,0.0,9.526737802473074
BLOSSOM,11.0,0.0,0.0,5.635226491743821
BROOKLYN,33.0,0.0,0.0,9.476441652286631
BOREAL,5.0,0.0,0.0,25.777407840922205
BOSTON,22.0,0.0,0.0,27.04778172695385
BRESCIA,72.0,0.0,0.0,6.803177930093379
CALIZA,5.0,0.0,0.0,10.971826732037531
CALIFORNIA,44.0,0.0,0.0,16.44887196301463
CEMENTO,67.0,0.0,0.0,9.42699225562176
CATANIA,11.0,0.0,0.0,14.359455877812575
DAKAR,44.0,0.0,0.0,11.279377850622613
DAKOTA,89.0,0.0,0.0,7.1750200615884445
CEMENTO DECORADO,44.0,0.0,0.0,5.115915044707788
CEOL,44.0,0.0,0.0,4.826523296637348
CEPPO,44.0,0.0,0.0,6.4127627750694
CHARLOTE,5.0,0.0,0.0,2.8855448064715827
CHLOE,5.0,0.0,0.0,6.257941449973307
CIPRES,112.0,0.0,0.0,7.787954840582634
CLOUDY_FOREST,5.0,0.0,0.0,3.346111388754797
CONCEPT,44.0,0.0,0.0,5.635020915688804
CONCRET,22.0,0.0,0.0,5.006561182795353
CONCRETO,100.0,0.0,0.0,7.726283289424775
CONTEMPO,11.0,0.0,0.0,5.63233362184548
CORAL,28.0,0.0,0.0,31.75062412112265
COTTO,89.0,0.0,0.0,7.810787584098638
CRETA,33.0,0.0,0.0,5.68941500017233
FERRAN,5.0,0.0,0.0,5.366176335979067
ESPACATOS,100.0,0.0,0.0,7.496153513089916
DANAE,5.0,0.0,0.0,7.281843064011646
DESERT,11.0,0.0,0.0,4.570046109613312
DORNE,16.0,0.0,0.0,4.752500999761216
DOLOMITE,44.0,0.0,0.0,13.679014328081216
ECOSTONE,11.0,0.0,0.0,5.941882951053361
EMPERADOR,44.0,0.0,0.0,9.9772998316871
FLORENCIA,112.0,0.0,0.0,10.25327328272204
FLOREANA,5.0,0.0,0.0,27.01882181709318
FACTORY,11.0,0.0,0.0,5.967101229467984
FENIX,33.0,0.0,0.0,6.244612154314537
FLORENTINO,89.0,0.0,0.0,9.833924165752984
FRANCINE,5.0,0.0,0.0,4.071725149204002
FORESTA,5.0,0.0,0.0,3.056275370375671
FLORIAN,5.0,0.0,0.0,4.574845149128916
METAL,22.0,0.0,0.0,7.845836097254135
METALICOS,28.0,0.0,0.0,18.602980648567
MIAMI,5.0,0.0,0.0,5.245678503151817
FUSION,16.0,0.0,0.0,6.233409688466428
GALENO,190.0,0.0,0.0,7.793624487406149
GALIA,22.0,0.0,0.0,50.16218194047708
