,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PROMEDIO,50.92,30.34,46.82,51.24
ARGEL,11.0,0.0,0.0,33.89845382083546
ASTI,5.0,0.0,0.0,23.7880277633667
AQUARIUM,5.0,0.0,0.0,48.95012080669403
BELEK,5.0,0.0,0.0,33.899695575237274
CALIZA,5.0,0.0,0.0,59.80994403362274
FLORIAN,5.0,0.0,0.0,36.78523480892181
FERRAN,5.0,0.0,0.0,37.25340098142624
CHLOE,5.0,0.0,0.0,39.22265768051148
DORNE,16.0,0.0,0.0,33.91453358344734
FACTORY,11.0,0.0,0.0,38.79918239333413
LARA,5.0,0.0,0.0,39.84180271625519
LITIO,11.0,0.0,0.0,45.63205133784901
LEBLON,5.0,0.0,0.0,18.386437594890594
LIMESTONE,22.0,0.0,0.0,45.999085429039866
GRANITY,5.0,0.0,0.0,54.88476812839508
FUSION,16.0,0.0,0.0,36.17644114419818
MONET,5.0,0.0,0.0,26.040931940078732
MIAMI,5.0,0.0,0.0,30.74920356273651
OAKLAND,22.0,0.0,0.0,33.713262595913626
NATURAL,16.0,0.0,0.0,78.96970324218273
PLATINUM,5.0,0.0,0.0,49.78787153959274
SOTILE,11.0,0.0,0.0,24.14329241622578
TURIN,11.0,0.0,0.0,33.401568640362136
STONE PRO,11.0,0.0,0.0,34.20148308981549
VESTRUM,11.0,0.0,0.0,30.200176347385757
SIERRA,67.0,1.0,1.4925373134328357,32.318238736088595
MONTANA,89.0,4.0,4.49438202247191,39.23828767591648
SILVERADO,22.0,1.0,4.545454545454546,35.000937567515805
CONCRET,22.0,1.0,4.545454545454546,30.02109879797155
ROMA DECO,22.0,1.0,4.545454545454546,46.42135229977694
CALIFORNIA,44.0,2.0,4.545454545454546,57.84986967390234
REFLECTION,33.0,2.0,6.0606060606060606,24.04496547850696
MURANO,44.0,3.0,6.8181818181818175,42.899489470503546
ANTARES,56.0,4.0,7.142857142857142,34.53622598733221
METAL,22.0,2.0,9.090909090909092,29.7425659542734
MANHATAN,22.0,2.0,9.090909090909092,39.75863307714462
PARQUET,11.0,1.0,9.090909090909092,47.04687947576696
TIRRENO,11.0,1.0,9.090909090909092,23.64411083134738
URBAN_JUNGLE,11.0,1.0,9.090909090909092,43.03092021833766
URBA,11.0,1.0,9.090909090909092,36.87826489860361
PANDORA,11.0,1.0,9.090909090909092,36.782145906578414
ANDROMEDA,11.0,1.0,9.090909090909092,36.34914864193309
BASALTINA,67.0,7.0,10.44776119402985,34.16305073161623
GRETA,28.0,3.0,10.714285714285714,43.12467553785869
UYUNI,44.0,8.0,18.181818181818183,58.34763903509487
DAKAR,44.0,8.0,18.181818181818183,25.996222313154828
ECOSTONE,11.0,2.0,18.181818181818183,29.994604126973584
PERIGATAN,16.0,3.0,18.75,38.96550787612796
MALIBU,5.0,1.0,20.0,62.10085809230805
BOREAL,5.0,1.0,20.0,86.80321216583252
FRANCINE,5.0,1.0,20.0,57.77596652507782
STELAR,5.0,1.0,20.0,71.03552341461182
HERMES,61.0,13.0,21.311475409836063,37.26697014492066
SLATEWORK,50.0,11.0,22.0,33.179732233285904
PRADO,22.0,5.0,22.727272727272727,34.231187945062466
TORINO,39.0,9.0,23.07692307692308,61.21815687570817
ROMA,28.0,7.0,25.0,51.16220882960728
TOULOUSE,11.0,3.0,27.27272727272727,26.71356119892814
ARIZONA,123.0,35.0,28.455284552845526,46.01247086515272
CEMENTO,67.0,21.0,31.343283582089555,40.029025389187375
MORMONT,39.0,13.0,33.33333333333333,33.99705863915957
DAKOTA,89.0,30.0,33.70786516853933,30.54054933652449
