,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
PROMEDIO,50.92,29.1,49.19,55.32
ASTI,5.0,0.0,0.0,48.372246
AQUARIUM,5.0,0.0,0.0,37.703236
BELEK,5.0,0.0,0.0,24.492968
DAKAR,44.0,0.0,0.0,32.10363
FLORIAN,5.0,0.0,0.0,37.447926
FACTORY,11.0,0.0,0.0,39.86647
GRANITY,5.0,0.0,0.0,41.295944
FUSION,16.0,0.0,0.0,38.423595
LEBLON,5.0,0.0,0.0,25.01348
PLATINUM,5.0,0.0,0.0,67.10091
MONET,5.0,0.0,0.0,28.726212
LARA,5.0,0.0,0.0,26.015797
LIMESTONE,22.0,0.0,0.0,48.395206
VENETTO,106.0,0.0,0.0,63.681534
VESTRUM,11.0,0.0,0.0,40.782932
WOODLAND,5.0,0.0,0.0,51.450188
URBA,11.0,0.0,0.0,46.433384
URBAN_JUNGLE,11.0,0.0,0.0,41.920033
UTAH,173.0,0.0,0.0,49.972916
STELAR,5.0,0.0,0.0,84.56401
TERSO,5.0,0.0,0.0,53.681324
TDF,224.0,0.0,0.0,40.28066
STONE PRO,11.0,0.0,0.0,32.386635
TIRRENO,11.0,0.0,0.0,31.091064
TRITON,22.0,0.0,0.0,39.94897
TROPICAL_LINEN,5.0,0.0,0.0,62.600006
TUNDRA,16.0,0.0,0.0,49.800133
TURIN,11.0,0.0,0.0,48.658188
TRAVERTINE,61.0,0.0,0.0,57.35569
TOULOUSE,11.0,0.0,0.0,36.923763
TORINO,39.0,0.0,0.0,53.727802
SIERRA,67.0,0.0,0.0,45.96957
VENECIA,39.0,0.0,0.0,72.560295
UYUNI,44.0,0.0,0.0,80.55982
ZINERVA,5.0,0.0,0.0,92.44225
MURANO,44.0,1.0,2.272727272727273,61.88212
MANHATAN,22.0,1.0,4.545454545454546,40.051685
SILVERADO,22.0,1.0,4.545454545454546,33.741875
PERIGATAN,16.0,1.0,6.25,55.99111
MONTANA,89.0,7.0,7.865168539325842,38.700844
ARGEL,11.0,1.0,9.090909090909092,54.104958
PARQUET,11.0,1.0,9.090909090909092,57.166183
DAKOTA,89.0,15.0,16.853932584269664,34.3896
ANDROMEDA,11.0,2.0,18.181818181818183,37.894844
MIAMI,5.0,1.0,20.0,43.904987
FRANCINE,5.0,1.0,20.0,53.412464
REFLECTION,33.0,7.0,21.21212121212121,25.446486
BASALTINA,67.0,15.0,22.388059701492537,41.258247
CONCRET,22.0,5.0,22.727272727272727,25.083765
METAL,22.0,5.0,22.727272727272727,23.847698
KANSAS,134.0,31.0,23.134328358208958,42.938374
MADISON,33.0,9.0,27.27272727272727,36.93083
PRADO,22.0,6.0,27.27272727272727,42.2548
GUAYACAN,134.0,40.0,29.850746268656717,41.978603
FENIX,33.0,10.0,30.303030303030305,29.761827
ROMA DECO,22.0,7.0,31.818181818181817,40.730885
RIVENDEL,28.0,9.0,32.142857142857146,33.840935
ARIZONA,123.0,41.0,33.33333333333333,52.12175
SLATEWORK,50.0,17.0,34.0,32.931053
AMALTA,28.0,10.0,35.714285714285715,39.207447
ANTARES,56.0,20.0,35.714285714285715,37.330235
PALMIRA,44.0,16.0,36.36363636363637,38.52329
SOTILE,11.0,4.0,36.36363636363637,33.841305
BALI,100.0,39.0,39.0,41.11124
PLASTER,84.0,33.0,39.285714285714285,45.466827
ALMA,5.0,2.0,40.0,54.986797
LINEN,5.0,2.0,40.0,66.73326
ESPACATOS,100.0,40.0,40.0,48.214615
OAKLAND,22.0,9.0,40.909090909090914,29.642607
CEMENTO DECORADO,44.0,19.0,43.18181818181818,62.403366
ROCKY,67.0,29.0,43.28358208955223,41.838684
QUARESTONE,257.0,115.0,44.74708171206226,42.48493
BROOKLYN,33.0,15.0,45.45454545454545,35.676178
LITIO,11.0,5.0,45.45454545454545,33.886204
HERMES,61.0,29.0,47.540983606557376,38.47109
CEMENTO,67.0,32.0,47.76119402985074,43.463486
QUEBEC,33.0,16.0,48.48484848484848,39.65057
PAMPLONA,33.0,16.0,48.48484848484848,54.3371
BRESCIA,72.0,35.0,48.61111111111111,48.002575
IBIZA,28.0,14.0,50.0,41.954777
DORNE,16.0,8.0,50.0,34.629013
