,Total Imagenes Evaluadas,Aciertos,Accuracy (%),Confianza Promedio (%)
ASTI,5,1,20.0,47.943333333333335
ARGEL,11,4,36.36363636363637,60.871428571428574
CALIZA,5,2,40.0,60.49333333333333
LINEN,5,2,40.0,69.86999999999999
FORESTA,5,3,60.0,77.50666666666667
ALMA,5,3,60.0,68.04333333333335
WOODLAND,5,3,60.0,57.419523809523795
TERSO,5,3,60.0,67.65666666666667
DESERT,11,7,63.63636363636363,65.2357142857143
CONTEMPO,11,7,63.63636363636363,65.66060606060606
FORMATO,106,81,76.41509433962264,68.40553683737647
ALTAR,5,4,80.0,74.4
PLATINUM,5,4,80.0,69.0
STONE PRO,11,10,90.9090909090909,75.27272727272728
CATANIA,11,10,90.9090909090909,84.2727272727273
VESTRUM,11,10,90.9090909090909,73.27272727272725
TOULOUSE,11,10,90.9090909090909,72.63636363636364
GRETA,28,26,92.85714285714286,80.17857142857142
DOLOMITE,44,42,95.45454545454545,84.75
TRITON,22,21,95.45454545454545,78.9090909090909
GALIA,22,21,95.45454545454545,90.54545454545455
BOSTON,22,21,95.45454545454545,81.72727272727269
MANHATAN,22,21,95.45454545454545,73.31818181818181
IBIZA,28,27,96.42857142857143,81.39285714285714
ROMA,28,27,96.42857142857143,78.71428571428572
MADISON,33,32,96.96969696969697,81.66666666666667
QUEBEC,33,32,96.96969696969697,78.36363636363635
DAKARI,67,65,97.01492537313433,90.31343283582088
BASALTINA,67,65,97.01492537313433,75.22388059701491
NATURA,67,65,97.01492537313433,89.16417910447763
CEMENTO,67,65,97.01492537313433,82.07462686567163
VENECIA,39,38,97.43589743589743,93.25641025641025
PALIO,123,120,97.5609756097561,89.54471544715442
CONCEPT,44,43,97.72727272727273,79.95454545454545
PALMIRA,44,43,97.72727272727273,80.11363636363636
MURANO,44,43,97.72727272727273,80.74999999999997
UYUNI,44,43,97.72727272727273,84.02272727272727
FLORENTINO,89,87,97.75280898876404,86.60674157303369
SLATEWORK,50,49,98.0,78.44000000000001
PADUA,50,49,98.0,91.52
BOLONIA,50,49,98.0,90.42
CONCRETO,100,98,98.0,84.05
BALI,100,98,98.0,90.11999999999999
NARVI,392,385,98.21428571428571,86.96173469387753
HERMES,61,60,98.36065573770492,79.78688524590162
UTAH,173,171,98.84393063583815,85.5317919075144
COTTO,89,88,98.87640449438202,89.75280898876402
GALENO,190,188,98.94736842105263,83.94210526315781
VENETTO,106,105,99.05660377358491,91.16037735849055
SANDSTONE,156,155,99.35897435897436,85.33974358974356
HYDRA,179,178,99.4413407821229,90.1117318435754
ONICE,184,183,99.45652173913044,88.42391304347817
TDF,224,223,99.55357142857143,84.72767857142848
OREGON,224,223,99.55357142857143,83.86607142857139
PEBBLE,453,452,99.77924944812362,95.33554083885227
BRESCIA,72,72,100.0,88.33333333333331
BASALTO,28,28,100.0,97.28571428571426
ATHENAS,140,140,100.0,89.9142857142857
CHARLOTE,5,5,100.0,88.2
CEPPO,44,44,100.0,90.95454545454541
BOREAL,5,5,100.0,92.6
BELEK,5,5,100.0,76.0
BLACKSTONE,50,50,100.0,95.50000000000003
BLOSSOM,11,11,100.0,92.0
FLORENCIA,112,112,100.0,92.36607142857142
FLOREANA,5,5,100.0,68.95166666666667
FERRAN,5,5,100.0,77.0
FENIX,33,33,100.0,81.81818181818184
ESPACATOS,100,100,100.0,83.52000000000001
FACTORY,11,11,100.0,77.18181818181816
EMPERADOR,44,44,100.0,94.20454545454544
ECOSTONE,11,11,100.0,83.81818181818183
DAKAR,44,44,100.0,83.47727272727273
DORNE,16,16,100.0,79.25
DAKOTA,89,89,100.0,83.80898876404494
DANAE,5,5,100.0,88.19999999999999
CONCRET,22,22,100.0,75.27272727272727
CLOUDY_FOREST,5,5,100.0,90.60000000000001
CORAL,28,28,100.0,84.75
CRETA,33,33,100.0,93.03030303030302
CEOL,44,44,100.0,87.11363636363635
CEMENTO DECORADO,44,44,100.0,87.61363636363633
CHLOE,5,5,100.0,84.39999999999999
CIPRES,112,112,100.0,88.32142857142854
KAPUR,22,22,100.0,91.81818181818181
IVORY,5,5,100.0,94.39999999999999
KAMANI,22,22,100.0,94.59090909090911
ISABELA,44,44,100.0,93.0227272727273
IPANEMA,252,252,100.0,94.12698412698415
GRECO,44,44,100.0,88.52272727272724
GUAYACAN,134,134,100.0,89.1641791044776
GRANITY,5,5,100.0,60.62857142857142
HELI,16,16,100.0,88.3125
FUSION,16,16,100.0,83.125
FLORIAN,5,5,100.0,78.2
FRANCINE,5,5,100.0,90.99999999999999
MALIBU,5,5,100.0,82.0
MAJESTIC_BLUE,5,5,100.0,72.6
LINO,22,22,100.0,97.18181818181816
LITIO,11,11,100.0,85.27272727272728
LIMESTONE,22,22,100.0,76.22727272727272
KYOTO_DREAM,5,5,100.0,90.0
LAJA,22,22,100.0,91.31818181818183
LEBLON,5,5,100.0,80.39999999999999
KANSAS,134,134,100.0,89.39552238805969
MONTANA,89,89,100.0,81.56179775280897
MORMONT,39,39,100.0,88.69230769230766
MAUI,22,22,100.0,87.72727272727273
MIAMI,5,5,100.0,73.6
MONET,5,5,100.0,82.2
METALICOS,28,28,100.0,88.35714285714286
METAL,22,22,100.0,75.81818181818181
CARRARA,106,106,100.0,97.43396226415094
CALIFORNIA,44,44,100.0,86.8409090909091
BROOKLYN,33,33,100.0,83.3030303030303
ARRECIFE,11,11,100.0,90.72727272727273
ANDROMEDA,11,11,100.0,80.18181818181819
BASIC,134,134,100.0,95.25373134328355
ARIZONA,123,123,100.0,90.49593495934958
AQUARIUM,5,5,100.0,89.2
ARTICO,5,5,100.0,82.0
AMELIE,16,16,100.0,84.5625
ANTARES,56,56,100.0,83.82142857142857
AMAZONIA,11,11,100.0,92.27272727272727
AMALFI,100,100,100.0,89.60000000000004
AMALTA,28,28,100.0,86.03571428571428
ALABAMA,5,5,100.0,84.00000000000001
ALTEZZA,33,33,100.0,85.69696969696967
PLASTER,84,84,100.0,87.51190476190473
